company_id,name,sector,cagr,sfr,margin,investing_score
1172,Cardlytics,Advertising & attention,0.08143016940350489,-0.7501752609440723,-0.10163623911135843,0.42467397540302054
1192,Arrowhead Pharmaceuticals,GovTech / RegTech / MedTech,-0.17412199354038305,0.10797102905241054,-0.3938683802640289,0.3751707834337681
1197,Kaiser Aluminum,Enterprise / ERP / HRM,0.26721036178479696,16.505494505494507,0.0603576533737857,0.7129490152173759
1205,Eve,Enterprise / ERP / HRM,,-0.14099127683958287,,0.36309128356619785
1207,Opendoor,E-commerce platforms,1.1331181875083551,-2.029850746268657,-0.03391098366787184,0.7230989345892396
1208,Toast,Enterprise / ERP / HRM,0.5668248840383305,-0.44385342789598103,-0.03861119641865794,0.6220161463590806
1214,Zynga,Gaming & virtual environments,,0.35854005156915975,0.08950678386990488,0.6739116543430604
1218,Klaviyo,Productivity & collaboration,,-0.09274758586063073,-0.028847204789576093,0.6413716793515559
1221,Udemy,E-learning & skill platforms,0.16303302158252797,-0.15397491590382584,-0.02082822253017288,0.47822682022379
1228,Proto,Enterprise / ERP / HRM,,2.623177595443141,,0.6556265013348914
1253,Ouster,Developer tooling,0.5570087917082762,-1.1621793574134591,-1.1968253022812556,0.5446244423776949
1283,Myriad AI,GovTech / RegTech / MedTech,0.292859288763166,0.7107728337236534,0.0894752358490566,0.5599653745025255
1288,Federal Home Loan Bank of San Francisco,Fintech & payments,,,,
1295,Mirum Pharmaceuticals,GovTech / RegTech / MedTech,,-1.0101196092156923,-1.217531557336327,0.5058537255889677
1299,Clearway Energy Group,Enterprise / ERP / HRM,0.03104981237857185,,0.47293447293447294,0.48732309478071273
1308,E.L.F. Beauty,E-commerce platforms,0.4152822484161034,,0.10878671897779238,0.6735205513325095
1312,First Solar,Enterprise / ERP / HRM,0.116038308304516,1.5597378977985255,0.059588961670013825,0.5182698119685821
1326,Saga,Developer tooling,,,0.35068128824447975,0.9700857226251588
1330,Twist Bioscience,GovTech / RegTech / MedTech,0.36519870414638844,-1.273120801482511,-0.6645130088488888,0.4914255227325963
1347,Backblaze,Productivity & collaboration,0.241146984217516,-0.03413534567488438,-0.008126428575228661,0.5123369157320943
1382,Figure,Fintech & payments,,,,
1423,Prosper Marketplace,Fintech & payments,,,-0.31320469603626644,0.8729341626342084
1456,Ultragenyx,GovTech / RegTech / MedTech,0.5726855903248966,-0.5450787965616046,-0.7804032258064516,0.588468556181231
1460,Energy Recovery,Enterprise / ERP / HRM,0.05057990750088459,0.7779625523527962,0.08714159560670033,0.46973044490508314
1484,SoundHound,AI assistants & copilots,,-1.076397966569262,-1.2763643298820495,0.4980418407927148
1500,Quince,E-commerce platforms,,-0.9839698762775686,,0.2738778745615266
1531,Universal Electronics,Smartphones & OS,0.26081473372247754,1.2877785237044852,0.09580765690665158,0.5663596085254438
1536,Stitch Fix,Marketplaces & gig platforms,-0.059818190761047996,,0.037403307923158415,0.4105729913210923
1544,Dragonfly,Fintech & payments,,-4.079424047845282,-0.25348816100525506,0.4408364720505164
1553,"Berkeley Lights, Inc.",Developer tooling,,-0.28651566469093986,-0.45616133341815635,0.5998522411495938
1555,iRhythm Technologies,GovTech / RegTech / MedTech,0.6554152086518976,-0.5960136352553137,-0.06772399907070394,0.6496443559326501
1559,SunPower Corporation,Enterprise / ERP / HRM,,-11.927375724015022,-0.954470689557802,0.38954638023673754
1602,Remitly,Fintech & payments,0.48925442606046143,-0.24316060609902612,-0.05272032661944076,0.5982279414870367
1603,System1,Advertising & attention,,,-0.013481306269370845,0.916794999541583
1605,CrowdStrike,Cybersecurity & identity,0.5872417299221562,0.9448027825446608,0.2456375543023738,0.686359189690437
1611,Chewy,E-commerce platforms,0.2314983101731274,,0.014804168027613779,0.5676416638899237
1619,BlackSky,Enterprise / ERP / HRM,0.48251272027796466,-69.1384136858476,-0.4704736908944673,0.47163704324995254
1638,Rover,Marketplaces & gig platforms,,-1.0884554420570622,-0.22506987627120187,0.5743258281159495
